Device,DateRecord,Speed,Longitude,Latitude,Ignition,Aux1,Valid,Valid GPS
Street Sander SF829036,12/10/2021 08:07:43,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:07:44,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:07:46,29.82581711,-96.72727,43.602,TRUE,FALSE,TRUE,TRUE
Street Sander SF829024,12/10/2021 08:07:51,0,-96.71667,43.57113,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:07:53,0,-96.73119,43.51511,TRUE,FALSE,TRUE,TRUE
Sander SF829027,12/10/2021 08:07:53,0,-96.71664,43.57113,FALSE,FALSE,TRUE,FALSE
Street Sander SF829044,12/10/2021 08:07:59,1.864113569,-96.75568,43.56408,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:08:01,0,-96.73119,43.51511,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:08:04,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:08:06,13.67016602,-96.72484,43.60197,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:08:08,21.74799156,-96.75636,43.56413,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:08:10,21.74799156,-96.72443,43.60197,TRUE,FALSE,TRUE,TRUE
Street Sander SF829040,12/10/2021 08:08:14,0,-96.71498,43.57035,FALSE,FALSE,TRUE,FALSE
Street Sander SF829044,12/10/2021 08:08:21,32.93267441,-96.7584,43.56426,TRUE,FALSE,TRUE,TRUE
Street Sander SF829040,12/10/2021 08:08:21,0,-96.71498,43.57035,FALSE,FALSE,TRUE,FALSE
Street Sander SF829044,12/10/2021 08:08:27,29.82581711,-96.75942,43.56434,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:08:29,32.31130219,-96.72169,43.60197,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:08:35,1.864113569,-96.73119,43.51508,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:08:42,14.91290855,-96.73101,43.51485,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:08:44,0,-96.76063,43.56439,TRUE,FALSE,TRUE,TRUE
Street Sander SF829040,12/10/2021 08:08:47,0,-96.71498,43.57035,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:08:49,28.58307457,-96.73014,43.51485,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:08:59,29.82581711,-96.72852,43.51488,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:09:03,1.864113569,-96.76065,43.56439,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:09:07,9.941939354,-96.76083,43.56442,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:09:12,0,-96.76093,43.56442,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:09:16,31.06855965,-96.71362,43.60192,TRUE,FALSE,TRUE,TRUE
Street Sander SF829035,12/10/2021 08:09:20,0,-96.71509,43.57033,FALSE,FALSE,TRUE,FALSE
Street Sander SF829036,12/10/2021 08:09:22,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:09:23,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Street Sander SF829035,12/10/2021 08:09:27,0,-96.71509,43.57033,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:09:28,17.39839363,-96.71199,43.60192,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:09:35,0,-96.71163,43.60192,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:09:43,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:09:52,35.41815948,-96.71944,43.5149,TRUE,FALSE,TRUE,TRUE
Street Sander SF829035,12/10/2021 08:09:53,0,-96.71509,43.57033,FALSE,FALSE,TRUE,FALSE
Street Sander SF829041,12/10/2021 08:09:59,0,-96.73574,43.57013,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:10:08,0,-96.71163,43.60192,TRUE,FALSE,TRUE,TRUE
Fleet Fuel Truck SF720021,12/10/2021 08:10:09,0,-96.71626,43.57084,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:10:13,32.31130219,-96.71547,43.51488,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:19,32.93267441,-96.71445,43.51514,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:10:27,1.242742419,-96.76096,43.56442,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:30,29.82581711,-96.71283,43.51588,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:10:31,0.62137121,-96.71163,43.60192,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:10:33,9.941939354,-96.71156,43.60192,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:10:33,8.699196815,-96.76119,43.56442,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:10:36,13.67016602,-96.71135,43.60197,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:10:37,14.91290855,-96.76129,43.56424,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:38,18.01976395,-96.71191,43.51626,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:10:39,14.91290855,-96.71124,43.6021,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:42,12.42742348,-96.71158,43.51634,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:46,13.67016602,-96.7114,43.51621,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:10:46,28.58307457,-96.76127,43.56339,TRUE,FALSE,TRUE,TRUE
Street Sander SF829045,12/10/2021 08:10:46,0,-96.6891,43.54729,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:10:49,24.23347664,-96.71122,43.60294,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:10:53,28.58307457,-96.71153,43.51557,TRUE,FALSE,TRUE,TRUE
Street Sander SF829045,12/10/2021 08:10:53,0,-96.6891,43.54729,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:10:54,21.74799156,-96.7112,43.60341,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:10:57,12.42742348,-96.7112,43.60361,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:10:58,29.82581711,-96.76127,43.56196,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:11:01,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:11:02,32.93267441,-96.71183,43.51445,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:11:02,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:11:07,10.56331062,-96.76127,43.56119,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:11:09,0,-96.71091,43.60379,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:11:12,34.17541504,-96.71201,43.51309,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:11:14,16.15565109,-96.7617,43.56114,TRUE,FALSE,TRUE,TRUE
Street Flusher SF820083,12/10/2021 08:11:15,0.62137121,-96.71521,43.57007,FALSE,FALSE,TRUE,FALSE
Street Sander SF829045,12/10/2021 08:11:21,0,-96.6891,43.54729,FALSE,FALSE,TRUE,FALSE
Street Sander SF829038,12/10/2021 08:11:22,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:11:30,0,-96.76234,43.56116,TRUE,FALSE,TRUE,TRUE
Street Flusher SF820028,12/10/2021 08:11:31,0,-96.71388,43.57138,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:11:32,32.31130219,-96.71124,43.51038,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:11:44,32.31130219,-96.7112,43.50889,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:11:47,0,-96.71091,43.60379,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:11:58,4.970969677,-96.71107,43.50781,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:12:05,1.864113569,-96.71107,43.50776,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:12:06,0,-96.76234,43.56116,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:12:08,1.864113569,-96.71091,43.60381,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:12:09,9.941939354,-96.71104,43.50766,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:12:12,14.91290855,-96.71084,43.50758,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:12:17,8.699196815,-96.7112,43.60394,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:12:18,27.34033203,-96.71012,43.50758,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:12:25,24.23347664,-96.71117,43.60451,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:12:29,20.50524902,-96.71107,43.60484,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:12:30,32.31130219,-96.70812,43.50758,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:12:32,20.50524902,-96.71078,43.60499,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:12:40,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:12:41,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Street Sander SF829022,12/10/2021 08:12:46,0,-96.71568,43.5711,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:12:48,47.22420883,-96.70769,43.6054,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:13:00,60.89437866,-96.70408,43.60553,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:13:00,34.17541504,-96.7027,43.50756,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:13:01,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:13:12,64.00123596,-96.69993,43.60576,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:13:28,27.34033203,-96.69798,43.50756,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:13:45,0,-96.76234,43.56116,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:13:56,67.72946167,-96.6837,43.60719,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:09,27.34033203,-96.69156,43.50753,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:14:10,74.56454468,-96.67822,43.60768,TRUE,FALSE,TRUE,TRUE
Street Sander SF829028,12/10/2021 08:14:15,0,-96.71332,43.57097,FALSE,FALSE,TRUE,FALSE
Street Sander SF829037,12/10/2021 08:14:15,0,-96.71378,43.57071,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:14:17,75.80728912,-96.6753,43.60781,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:18,21.74799156,-96.69033,43.50753,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:14:19,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:14:20,0,-96.75397,43.56493,TRUE,FALSE,TRUE,TRUE
Street Sander SF829037,12/10/2021 08:14:22,0,-96.71378,43.57071,FALSE,FALSE,TRUE,FALSE
Fleet Parts Runner SF110331,12/10/2021 08:14:26,74.56454468,-96.67156,43.60781,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:32,26.09758949,-96.68831,43.50753,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:14:34,0,-96.76234,43.56116,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:39,14.91290855,-96.68748,43.50756,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:14:40,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:42,11.18468189,-96.68731,43.50761,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:44,7.456454277,-96.68729,43.50769,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:14:50,8.699196815,-96.68723,43.50784,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:14:51,66.48671722,-96.66183,43.60773,TRUE,FALSE,TRUE,TRUE
Street Sander SF829037,12/10/2021 08:14:51,0,-96.71378,43.57071,FALSE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:14:56,12.42742348,-96.68687,43.50781,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:15:01,0,-96.68669,43.50781,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:15:04,67.72946167,-96.657,43.60776,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:15:11,65.24397278,-96.65444,43.60804,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:15:23,0,-96.75397,43.56493,FALSE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:15:47,68.97220612,-96.6412,43.61011,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:15:54,67.72946167,-96.63857,43.61026,TRUE,FALSE,TRUE,TRUE
Street Sander SF829036,12/10/2021 08:15:58,0,-96.7084,43.5125,TRUE,TRUE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:16:05,68.97220612,-96.63442,43.61024,TRUE,FALSE,TRUE,TRUE
Street Sander SF829044,12/10/2021 08:16:13,0,-96.76234,43.56116,TRUE,FALSE,TRUE,TRUE
Street Sander SF829038,12/10/2021 08:16:19,0,-96.76485,43.54102,TRUE,TRUE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:16:41,69.59357452,-96.62034,43.61014,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:17:03,0,-96.75389,43.56501,TRUE,FALSE,TRUE,FALSE
Street Sander SF829042,12/10/2021 08:17:10,1.864113569,-96.68665,43.50779,TRUE,FALSE,TRUE,TRUE
Fleet Parts Runner SF110331,12/10/2021 08:17:12,67.72946167,-96.60857,43.60921,TRUE,FALSE,TRUE,TRUE
Street Sander SF829046,12/10/2021 08:17:18,0,-96.75389,43.56501,TRUE,TRUE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:17:26,6.213711739,-96.68623,43.50781,TRUE,FALSE,TRUE,TRUE
Street Sander SF829042,12/10/2021 08:17:35,5.592340946,-96.68613,43.50766,TRUE,FALSE,TRUE,TRUE
