OID_,granularmo,GranularSe,GranularTo,servicetyp,speedmph,vehiclefle,vehicleid,xcoord,ycoord,reporttime
679,C,0,429491,In Transit,24,Fleet,H78,-87.97812,41.94412,1643967244
868,C,0,76423,In Transit,2,Fleet,H85,-88.21082,41.81033,1643967244
25,M,0,30939,Idle,0,Fleet,H74,-88.01307,41.7511,1643967245
6,C,500,239735,Spreading,6,Fleet,H75,-88.02538,41.83143,1643967272
27,C,0,1004480,In Transit,29,Fleet,H67,-88.05225,41.89025,1643967273
138,C,0,685083,In Transit,29,Fleet,H93,-88.15035,41.91427,1643967273
638,C,0,429491,In Transit,31,Fleet,H78,-87.9784,41.94033,1643967274
344,C,0,76429,In Transit,24,Fleet,H85,-88.20523,41.81015,1643967274
128,C,0,649961,In Transit,11,Fleet,H60,-87.94225,41.7556,1643967303
36,C,500,239735,Spreading,2,Fleet,H75,-88.02445,41.8321,1643967303
7,C,0,1004480,In Transit,11,Fleet,H67,-88.04918,41.88995,1643967304
145,C,0,685083,In Transit,35,Fleet,H93,-88.15045,41.91857,1643967304
173,C,0,429491,In Transit,33,Fleet,H78,-87.97778,41.93615,1643967305
292,C,0,76429,In Transit,2,Fleet,H85,-88.20407,41.8099,1643967305
510,C,0,1004480,In Transit,26,Fleet,H67,-88.04657,41.89193,1643967333
57,C,0,559777,In Transit,24,Fleet,H70,-87.9307,41.83277,1643967333
76,C,500,239735,Spreading,2,Fleet,H75,-88.02453,41.83195,1643967333
1,C,0,685083,In Transit,38,Fleet,H93,-88.15038,41.924,1643967333
503,C,0,429491,In Transit,31,Fleet,H78,-87.97657,41.93262,1643967334
97,M,0,30939,In Transit,22,Fleet,H74,-88.01257,41.75167,1643967335
862,C,0,76429,In Transit,17,Fleet,H85,-88.19867,41.80885,1643967335
55,C,0,649961,Idle,0,Fleet,H60,-87.94392,41.7526,1643967362
92,C,0,1004480,In Transit,29,Fleet,H67,-88.04532,41.89567,1643967363
15,C,0,559777,In Transit,6,Fleet,H70,-87.92878,41.83275,1643967363
210,C,0,239750,In Transit,11,Fleet,H75,-88.0255,41.8315,1643967363
112,C,0,429491,Idle,0,Fleet,H78,-87.97828,41.92937,1643967363
719,C,0,685083,In Transit,31,Fleet,H93,-88.15033,41.9281,1643967363
46,M,0,30939,In Transit,35,Fleet,H74,-88.0113,41.75557,1643967365
629,C,0,76429,In Transit,2,Fleet,H85,-88.19802,41.80892,1643967366
520,C,0,1004480,In Transit,26,Fleet,H67,-88.04423,41.89958,1643967392
656,C,0,429491,In Transit,8,Fleet,H78,-87.97833,41.9293,1643967393
560,C,0,685083,Idle,0,Fleet,H93,-88.1503,41.92975,1643967393
378,M,0,30939,In Transit,35,Fleet,H74,-88.0082,41.75733,1643967394
357,C,0,76429,In Transit,13,Fleet,H85,-88.20188,41.80955,1643967394
141,C,100,649962,Spreading,15,Fleet,H60,-87.94543,41.75262,1643967424
29,C,0,1004493,Spreading,26,Fleet,H67,-88.04322,41.90303,1643967424
140,C,0,239783,In Transit,13,Fleet,H75,-88.02505,41.82597,1643967424
258,M,0,30939,In Transit,35,Fleet,H74,-88.00817,41.76345,1643967425
150,C,0,429491,In Transit,29,Fleet,H78,-87.9792,41.92652,1643967425
65,C,100,685083,Spreading,26,Fleet,H93,-88.15028,41.9314,1643967425
83,C,150,76429,Idle,0,Fleet,H85,-88.20273,41.80972,1643967426
223,C,0,1004494,In Transit,6,Fleet,H67,-88.04298,41.90385,1643967453
248,C,0,239783,In Transit,4,Fleet,H75,-88.02413,41.82605,1643967453
104,C,0,685097,In Transit,29,Fleet,H93,-88.15027,41.9339,1643967453
71,M,0,30939,In Transit,35,Fleet,H74,-88.00825,41.76632,1643967454
241,C,200,429514,Spreading,22,Fleet,H78,-87.9769,41.92328,1643967454
486,C,150,76429,Spreading,26,Fleet,H85,-88.2051,41.81015,1643967454
309,C,0,239783,In Transit,8,Fleet,H75,-88.02515,41.82617,1643967482
201,C,1000,1004585,Spreading,24,Fleet,H67,-88.04233,41.90622,1643967483
194,C,0,685097,In Transit,15,Fleet,H93,-88.15025,41.9379,1643967483
256,C,0,429553,In Transit,22,Fleet,H78,-87.97513,41.92078,1643967484
539,C,0,76467,In Transit,33,Fleet,H85,-88.20888,41.81047,1643967486
319,M,0,30939,In Transit,26,Fleet,H74,-88.00843,41.77177,1643967496
34,C,100,649962,Idle,0,Fleet,H60,-87.95418,41.75233,1643967513
658,C,1000,1004585,Spreading,26,Fleet,H67,-88.0423,41.90952,1643967513
109,C,0,239783,In Transit,2,Fleet,H75,-88.02532,41.82785,1643967513
437,C,0,685101,In Transit,15,Fleet,H93,-88.15032,41.9396,1643967514
211,M,0,30939,In Transit,11,Fleet,H74,-88.00838,41.77295,1643967515
32,C,200,429587,Spreading,26,Fleet,H78,-87.97325,41.91773,1643967516
310,C,0,76467,In Transit,29,Fleet,H85,-88.21607,41.81037,1643967516
9,C,1000,1004585,Spreading,26,Fleet,H67,-88.04232,41.91287,1643967542
216,C,0,685101,In Transit,11,Fleet,H93,-88.1506,41.94073,1643967543
305,M,0,30939,In Transit,35,Fleet,H74,-88.00185,41.77312,1643967544
79,C,200,429610,Spreading,17,Fleet,H78,-87.97242,41.91547,1643967544
288,C,0,76467,In Transit,29,Fleet,H85,-88.21883,41.80905,1643967546
772,C,1000,1004585,Spreading,29,Fleet,H67,-88.04233,41.9164,1643967573
126,C,0,239783,In Transit,11,Fleet,H75,-88.02555,41.83325,1643967573
133,C,0,685101,In Transit,8,Fleet,H93,-88.15258,41.94055,1643967574
580,M,0,30939,In Transit,33,Fleet,H74,-87.99792,41.77318,1643967575
89,C,0,429616,In Transit,6,Fleet,H78,-87.9716,41.91332,1643967576
42,C,0,76467,In Transit,33,Fleet,H85,-88.22592,41.80787,1643967576
278,C,1000,1004598,Spreading,17,Fleet,H67,-88.04227,41.9199,1643967604
222,C,300,559778,Spreading,15,Fleet,H70,-87.92637,41.81763,1643967604
40,C,0,685101,Idle,0,Fleet,H93,-88.15213,41.94025,1643967604
169,M,0,30939,Idle,0,Fleet,H74,-87.9944,41.77323,1643967606
212,C,0,76467,In Transit,29,Fleet,H85,-88.22935,41.8074,1643967606
479,C,0,429616,In Transit,6,Fleet,H78,-87.97143,41.91302,1643967607
762,C,0,1004645,In Transit,15,Fleet,H67,-88.04175,41.92023,1643967632
514,C,100,650165,Spreading,6,Fleet,H60,-87.96637,41.75212,1643967633
470,C,0,559808,In Transit,6,Fleet,H70,-87.92717,41.81943,1643967633
110,C,0,239783,In Transit,2,Fleet,H75,-88.02577,41.83665,1643967633
188,M,0,30939,In Transit,31,Fleet,H74,-87.99177,41.7733,1643967635
473,C,0,429627,In Transit,22,Fleet,H78,-87.97228,41.91533,1643967636
208,C,0,76467,In Transit,24,Fleet,H85,-88.23605,41.8077,1643967636
1141,C,0,559808,Idle,0,Fleet,H70,-87.92662,41.82002,1643967662
1442,C,0,239795,In Transit,8,Fleet,H75,-88.02737,41.8366,1643967662
1203,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.9211,1643967663
1231,M,0,30939,In Transit,38,Fleet,H74,-87.98792,41.7734,1643967664
1239,C,0,429627,In Transit,29,Fleet,H78,-87.97368,41.9187,1643967664
1715,C,0,76467,In Transit,20,Fleet,H85,-88.23762,41.80872,1643967665
1177,C,0,239795,Idle,0,Fleet,H75,-88.02792,41.83622,1643967693
1202,M,0,30939,In Transit,33,Fleet,H74,-87.9806,41.77353,1643967694
1168,C,0,429635,In Transit,22,Fleet,H78,-87.97552,41.92152,1643967695
1194,C,0,76467,In Transit,29,Fleet,H85,-88.2363,41.81077,1643967695
1271,C,100,650165,Spreading,6,Fleet,H60,-87.97363,41.75207,1643967723
1511,M,0,30939,In Transit,31,Fleet,H74,-87.97675,41.77358,1643967725
1382,C,200,429635,Spreading,20,Fleet,H78,-87.97748,41.9243,1643967725
1735,C,0,76467,In Transit,26,Fleet,H85,-88.23235,41.8144,1643967726
1363,M,0,30939,In Transit,11,Fleet,H74,-87.97453,41.77373,1643967754
1559,C,0,429665,In Transit,24,Fleet,H78,-87.97902,41.9264,1643967754
1489,C,0,76467,In Transit,29,Fleet,H85,-88.23137,41.81665,1643967755
1345,M,0,30939,In Transit,29,Fleet,H74,-87.97473,41.77875,1643967784
1140,C,0,429665,Idle,0,Fleet,H78,-87.97827,41.92897,1643967785
1492,C,0,76467,In Transit,2,Fleet,H85,-88.23112,41.81943,1643967785
1268,C,0,650321,In Transit,26,Fleet,H60,-87.9742,41.76345,1643967813
1377,M,0,30939,In Transit,29,Fleet,H74,-87.97475,41.78108,1643967813
1826,C,0,239795,In Transit,8,Fleet,H75,-88.02772,41.8366,1643967813
1851,C,0,429670,In Transit,8,Fleet,H78,-87.97812,41.92905,1643967814
1248,C,150,76467,Idle,0,Fleet,H85,-88.23122,41.82023,1643967814
2409,C,100,650321,Spreading,29,Fleet,H60,-87.97428,41.7669,1643967843
2556,M,0,30939,In Transit,31,Fleet,H74,-87.975,41.78643,1643967845
2368,C,0,429670,In Transit,35,Fleet,H78,-87.97442,41.9276,1643967845
2371,C,0,76475,Idle,0,Fleet,H85,-88.23117,41.8202,1643967845
2563,C,0,650345,In Transit,22,Fleet,H60,-87.9744,41.76983,1643967873
2344,M,0,30939,Idle,0,Fleet,H74,-87.975,41.78772,1643967874
2310,C,0,685101,Idle,0,Fleet,H93,-88.15212,41.94025,1643967874
2653,C,0,429670,In Transit,33,Fleet,H78,-87.9695,41.92547,1643967875
2612,C,0,559808,In Transit,15,Fleet,H70,-87.92732,41.81905,1643967902
2687,C,100,650345,Spreading,22,Fleet,H60,-87.97443,41.77198,1643967904
2349,M,0,30939,In Transit,2,Fleet,H74,-87.97502,41.78777,1643967905
2363,C,0,429670,Idle,0,Fleet,H78,-87.96437,41.92318,1643967906
2603,C,0,650377,In Transit,22,Fleet,H60,-87.97458,41.77505,1643967934
2520,M,0,30939,In Transit,24,Fleet,H74,-87.97507,41.78933,1643967936
2421,C,0,76475,In Transit,2,Fleet,H85,-88.2312,41.82007,1643967937
2497,C,0,1004646,Idle,0,Fleet,H67,-88.03992,41.92115,1643967963
2961,M,0,30939,In Transit,11,Fleet,H74,-87.9754,41.79185,1643967965
2668,C,0,76475,In Transit,22,Fleet,H85,-88.23133,41.81867,1643967966
2941,C,0,650377,Idle,0,Fleet,H60,-87.97498,41.77788,1643967992
3251,C,300,559808,Spreading,15,Fleet,H70,-87.92652,41.81782,1643967992
2798,M,0,30939,In Transit,4,Fleet,H74,-87.97792,41.79183,1643967995
3140,C,200,429670,Spreading,20,Fleet,H78,-87.96297,41.9239,1643967995
2772,C,0,76475,In Transit,31,Fleet,H85,-88.23258,41.81433,1643967996
3613,C,0,650377,In Transit,6,Fleet,H60,-87.97478,41.77783,1643968024
3564,C,0,559844,In Transit,20,Fleet,H70,-87.9272,41.82005,1643968024
3755,C,0,239902,In Transit,20,Fleet,H75,-88.02862,41.81968,1643968024
3501,C,0,429703,In Transit,22,Fleet,H78,-87.9609,41.92597,1643968025
3806,M,0,30939,In Transit,20,Fleet,H74,-87.97983,41.79177,1643968026
3683,C,0,76475,In Transit,29,Fleet,H85,-88.23472,41.81238,1643968026
3527,C,0,239902,In Transit,2,Fleet,H75,-88.02888,41.81938,1643968056
3680,M,0,30939,In Transit,15,Fleet,H74,-87.98433,41.79167,1643968058
3462,C,0,429703,Idle,0,Fleet,H78,-87.95867,41.9283,1643968059
3524,C,0,76475,In Transit,29,Fleet,H85,-88.23795,41.80822,1643968059
3490,C,0,239902,In Transit,29,Fleet,H75,-88.02953,41.81588,1643968083
3757,M,0,30939,In Transit,13,Fleet,H74,-87.9849,41.7915,1643968085
3571,C,0,76475,In Transit,31,Fleet,H85,-88.23893,41.8057,1643968086
4105,C,0,429703,In Transit,6,Fleet,H78,-87.95883,41.92833,1643968087
3862,M,0,30939,In Transit,13,Fleet,H74,-87.9848,41.78975,1643968114
3732,C,0,429703,Idle,0,Fleet,H78,-87.96103,41.92605,1643968115
3561,C,0,76475,In Transit,29,Fleet,H85,-88.24012,41.80078,1643968115
4189,C,100,650377,Spreading,24,Fleet,H60,-87.97458,41.77175,1643968143
3834,C,0,239902,Idle,0,Fleet,H75,-88.03423,41.81162,1643968143
3741,M,0,30939,In Transit,8,Fleet,H74,-87.98488,41.788,1643968145
3903,C,200,429703,Spreading,6,Fleet,H78,-87.96108,41.92597,1643968145
3716,C,0,76475,In Transit,33,Fleet,H85,-88.24055,41.79818,1643968145
4656,C,100,650506,Spreading,26,Fleet,H60,-87.97447,41.7679,1643968174
4644,C,100,685101,Spreading,4,Fleet,H93,-88.15242,41.9407,1643968174
5096,M,0,30939,In Transit,33,Fleet,H74,-87.9878,41.78798,1643968175
5175,C,200,429703,Spreading,13,Fleet,H78,-87.96275,41.92433,1643968176
5074,C,0,76475,In Transit,26,Fleet,H85,-88.24102,41.79317,1643968176
4959,M,0,30939,In Transit,20,Fleet,H74,-87.9938,41.78793,1643968203
4628,C,150,685107,Spreading,11,Fleet,H93,-88.1505,41.94043,1643968203
4601,C,200,429703,Idle,0,Fleet,H78,-87.96288,41.92413,1643968204
5067,C,0,76475,In Transit,29,Fleet,H85,-88.24122,41.79077,1643968204
4805,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.92118,1643968236
4837,C,0,685146,In Transit,29,Fleet,H93,-88.15042,41.93723,1643968236
4733,M,0,30939,In Transit,31,Fleet,H74,-87.99678,41.78787,1643968237
4732,C,200,429703,Idle,0,Fleet,H78,-87.96263,41.92425,1643968237
4995,C,0,76475,In Transit,29,Fleet,H85,-88.24157,41.78577,1643968237
4638,C,0,559844,In Transit,6,Fleet,H70,-87.929,41.84367,1643968263
4636,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.92118,1643968265
4853,M,0,30939,In Transit,31,Fleet,H74,-88.00362,41.78773,1643968265
4871,C,0,685151,In Transit,33,Fleet,H93,-88.15043,41.9331,1643968265
5119,C,200,429703,Spreading,6,Fleet,H78,-87.9626,41.92432,1643968266
4943,C,150,76475,Spreading,26,Fleet,H85,-88.24085,41.78265,1643968266
4717,C,100,650506,Idle,0,Fleet,H60,-87.97397,41.75208,1643968292
5030,C,0,559844,In Transit,22,Fleet,H70,-87.92915,41.84205,1643968292
4859,C,150,685152,Spreading,29,Fleet,H93,-88.15048,41.92868,1643968293
4616,M,0,30939,In Transit,24,Fleet,H74,-88.00685,41.78768,1643968294
5522,C,0,429803,In Transit,26,Fleet,H78,-87.96042,41.92653,1643968294
4673,C,0,76486,In Transit,6,Fleet,H85,-88.24118,41.78072,1643968294
4767,C,100,650506,Spreading,6,Fleet,H60,-87.97408,41.75195,1643968322
5352,M,0,30939,Idle,0,Fleet,H74,-88.0088,41.78765,1643968325
5024,C,0,76486,In Transit,8,Fleet,H85,-88.24208,41.78105,1643968325
5297,C,0,685156,In Transit,31,Fleet,H93,-88.1505,41.925,1643968325
4798,C,0,429803,In Transit,26,Fleet,H78,-87.95832,41.92862,1643968326
6449,C,0,685159,In Transit,31,Fleet,H93,-88.15053,41.92107,1643968362
5808,M,0,30939,In Transit,2,Fleet,H74,-88.00882,41.78763,1643968363
5968,C,0,429813,In Transit,22,Fleet,H78,-87.95572,41.93033,1643968363
5824,C,0,76486,In Transit,8,Fleet,H85,-88.24183,41.7815,1643968363
5761,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.92118,1643968384
5790,C,0,685159,In Transit,22,Fleet,H93,-88.15058,41.91712,1643968384
5961,M,0,30939,In Transit,31,Fleet,H74,-88.01465,41.78732,1643968385
5938,C,0,76486,Idle,0,Fleet,H85,-88.24102,41.78153,1643968386
5969,C,0,429813,In Transit,22,Fleet,H78,-87.95048,41.93085,1643968387
6270,C,0,650720,In Transit,38,Fleet,H60,-87.9875,41.75165,1643968414
5778,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.9212,1643968414
5835,M,0,30939,Idle,0,Fleet,H74,-88.01837,41.78728,1643968415
5814,C,0,429817,In Transit,22,Fleet,H78,-87.948,41.93097,1643968417
5842,C,0,650720,In Transit,6,Fleet,H60,-87.99303,41.75155,1643968444
5873,M,0,30939,In Transit,2,Fleet,H74,-88.0184,41.78727,1643968446
6014,C,150,429817,Spreading,17,Fleet,H78,-87.94603,41.93107,1643968446
5990,C,0,76486,In Transit,8,Fleet,H85,-88.24067,41.78162,1643968446
6051,M,0,30939,In Transit,38,Fleet,H74,-88.02453,41.78633,1643968474
6127,C,150,429817,Spreading,20,Fleet,H78,-87.94343,41.93122,1643968474
5887,C,0,76486,In Transit,24,Fleet,H85,-88.24075,41.7832,1643968475
6049,M,0,30939,In Transit,38,Fleet,H74,-88.02847,41.78587,1643968504
6065,C,150,429864,Spreading,6,Fleet,H78,-87.94027,41.93138,1643968504
6426,C,0,76486,In Transit,26,Fleet,H85,-88.24142,41.7874,1643968505
6928,C,0,650720,In Transit,33,Fleet,H60,-88.00882,41.75132,1643968534
7520,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.92123,1643968534
6932,C,0,559844,Idle,0,Fleet,H70,-87.91485,41.83343,1643968534
6901,M,0,30939,In Transit,26,Fleet,H74,-88.03605,41.78495,1643968535
7071,C,150,429864,Spreading,20,Fleet,H78,-87.93745,41.93152,1643968535
6893,C,0,76486,In Transit,29,Fleet,H85,-88.24117,41.78962,1643968536
7114,C,0,650720,In Transit,6,Fleet,H60,-88.01238,41.75128,1643968562
6918,C,0,1004646,Idle,0,Fleet,H67,-88.03993,41.9212,1643968563
6883,M,0,30939,Idle,0,Fleet,H74,-88.03702,41.78483,1643968565
6983,C,150,429864,Spreading,20,Fleet,H78,-87.93353,41.93165,1643968565
7219,C,0,76486,In Transit,26,Fleet,H85,-88.24077,41.79403,1643968565
6929,C,0,685160,In Transit,29,Fleet,H93,-88.15048,41.91047,1643968566
6889,C,100,685259,Spreading,29,Fleet,H93,-88.15083,41.89657,1643968568
7026,C,0,650720,In Transit,8,Fleet,H60,-88.01263,41.75255,1643968593
7134,C,100,685259,Spreading,33,Fleet,H93,-88.15082,41.89528,1643968594
7557,C,0,76486,In Transit,31,Fleet,H85,-88.24053,41.79652,1643968595
6940,C,0,429931,In Transit,17,Fleet,H78,-87.9302,41.93155,1643968596
6892,C,100,650721,Spreading,26,Fleet,H60,-88.01183,41.7552,1643968626
7286,C,100,685332,Spreading,31,Fleet,H93,-88.15143,41.88888,1643968626
7019,M,0,30939,In Transit,2,Fleet,H74,-88.037,41.78483,1643968627
7018,C,0,76486,In Transit,29,Fleet,H85,-88.23993,41.80125,1643968627
7689,C,150,429931,Spreading,31,Fleet,H78,-87.9264,41.9315,1643968628
6973,C,100,685338,Spreading,24,Fleet,H93,-88.15062,41.88637,1643968653
7562,M,0,30939,In Transit,33,Fleet,H74,-88.03962,41.78465,1643968654
7121,C,0,429961,In Transit,8,Fleet,H78,-87.92373,41.93152,1643968655
6945,C,0,76486,In Transit,31,Fleet,H85,-88.23938,41.80378,1643968655
6923,C,0,650782,In Transit,31,Fleet,H60,-88.00808,41.76085,1643968683
7101,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92122,1643968683
7117,M,0,30939,In Transit,35,Fleet,H74,-88.04755,41.78473,1643968684
7294,C,0,76486,In Transit,24,Fleet,H85,-88.2378,41.80833,1643968684
7234,C,0,685343,In Transit,22,Fleet,H93,-88.14995,41.88447,1643968684
8127,C,0,1004646,Idle,0,Fleet,H67,-88.03995,41.92122,1643968713
8173,C,100,685343,Spreading,15,Fleet,H93,-88.1489,41.88135,1643968713
8225,M,0,30939,Idle,0,Fleet,H74,-88.0514,41.78553,1643968714
8079,C,0,429961,Idle,0,Fleet,H78,-87.92393,41.93375,1643968714
8048,C,0,76486,In Transit,31,Fleet,H85,-88.23662,41.81043,1643968714
8414,C,0,685350,In Transit,24,Fleet,H93,-88.14827,41.87953,1643968745
8611,M,0,30939,In Transit,2,Fleet,H74,-88.05142,41.78553,1643968746
8113,C,0,76486,In Transit,38,Fleet,H85,-88.23217,41.81465,1643968746
8061,C,0,591206,Idle,0,Fleet,H69,-87.975,41.77357,1643968774
8214,C,0,685357,In Transit,24,Fleet,H93,-88.14737,41.87693,1643968774
8041,M,0,30939,In Transit,2,Fleet,H74,-88.0547,41.78603,1643968775
8104,C,0,76486,In Transit,33,Fleet,H85,-88.23132,41.81752,1643968775
8343,C,0,685357,Idle,0,Fleet,H93,-88.14637,41.8742,1643968806
8109,M,0,30939,In Transit,33,Fleet,H74,-88.0604,41.7867,1643968809
8267,C,0,76486,Idle,0,Fleet,H85,-88.23115,41.8189,1643968810
8346,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92118,1643968834
8076,M,0,30939,In Transit,33,Fleet,H74,-88.06415,41.78702,1643968837
8068,C,0,76486,In Transit,4,Fleet,H85,-88.23135,41.8189,1643968837
8350,C,0,1004646,Idle,0,Fleet,H67,-88.03998,41.9212,1643968864
8412,C,0,685357,In Transit,31,Fleet,H93,-88.14442,41.86908,1643968864
8156,M,0,30939,In Transit,26,Fleet,H74,-88.07115,41.78677,1643968865
8161,C,0,76486,In Transit,22,Fleet,H85,-88.23153,41.81725,1643968865
8665,C,0,650782,In Transit,4,Fleet,H60,-88.00888,41.7783,1643968876
9165,C,0,559844,Idle,0,Fleet,H70,-87.95455,41.8324,1643968892
9295,C,0,239902,In Transit,22,Fleet,H75,-88.03577,41.81078,1643968893
9681,C,0,685360,In Transit,26,Fleet,H93,-88.14348,41.86595,1643968894
9225,M,0,30939,In Transit,2,Fleet,H74,-88.07295,41.78667,1643968895
9391,C,0,76486,In Transit,26,Fleet,H85,-88.232,41.81515,1643968895
9443,C,0,650782,Idle,0,Fleet,H60,-88.00918,41.77722,1643968926
9997,C,100,685363,Spreading,26,Fleet,H93,-88.14275,41.86315,1643968926
9304,M,0,30939,In Transit,35,Fleet,H74,-88.0792,41.78588,1643968928
9835,C,0,76486,In Transit,31,Fleet,H85,-88.23605,41.8112,1643968928
10029,C,100,685363,Spreading,26,Fleet,H93,-88.14273,41.86292,1643968928
9200,C,0,1004646,Idle,0,Fleet,H67,-88.03998,41.92117,1643968953
9336,C,0,239902,In Transit,4,Fleet,H75,-88.03947,41.80733,1643968953
9386,C,0,685393,In Transit,22,Fleet,H93,-88.14267,41.86048,1643968953
9546,M,0,30939,In Transit,35,Fleet,H74,-88.08308,41.78547,1643968955
9545,C,0,76486,Idle,0,Fleet,H85,-88.23797,41.80823,1643968955
9279,C,0,591206,Idle,0,Fleet,H69,-87.9518,41.77407,1643968986
9176,C,0,239902,Idle,0,Fleet,H75,-88.04283,41.8078,1643968986
9175,C,0,1004646,Idle,0,Fleet,H67,-88.03997,41.92117,1643968987
9641,M,0,30939,In Transit,42,Fleet,H74,-88.09077,41.78252,1643968987
9380,C,0,685399,In Transit,20,Fleet,H93,-88.14272,41.85875,1643968987
9529,C,0,76486,In Transit,4,Fleet,H85,-88.23798,41.80822,1643968988
9167,C,0,685399,Idle,0,Fleet,H93,-88.14265,41.85807,1643969014
9370,M,0,30939,In Transit,17,Fleet,H74,-88.0927,41.782,1643969015
9283,C,0,76486,In Transit,31,Fleet,H85,-88.23873,41.80637,1643969015
9248,C,0,650782,In Transit,8,Fleet,H60,-88.00868,41.77708,1643969042
9682,M,0,30939,In Transit,38,Fleet,H74,-88.0944,41.77637,1643969044
