OID_,Device,Device_Group,datetimerecorded,Speed,Longitude,Latitude,Ignition,Aux1,Valid,Valid_GPS,datetime1
32,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:03:07 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:03:07
33,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:09 AM,25,-96.722480000000004,43.569150000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:09
34,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:13 AM,1,-96.731189999999998,43.563949999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:13
35,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:17 AM,16,-96.731189999999998,43.564109999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:17
36,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:18 AM,26,-96.723119999999994,43.568359999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:18
37,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:25 AM,30,-96.731189999999998,43.564880000000002,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:25
38,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:27 AM,29,-96.723709999999997,43.567459999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:27
39,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:35 AM,24,-96.724199999999996,43.566699999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:35
40,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:42 AM,27,-96.724990000000005,43.566260000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:42
41,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:48 AM,37,-96.731189999999998,43.567999999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:48
42,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:52 AM,38,-96.731089999999995,43.568620000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:52
43,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:03:52 AM,30,-96.726219999999998,43.565620000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:52
44,Fleet Parts Runner SF110331,Parts,12/10/2021 8:03:59 AM,37,-96.730549999999994,43.569560000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:03:59
45,Fleet Parts Runner SF110331,Parts,12/10/2021 8:04:04 AM,38,-96.730320000000006,43.570300000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:04
46,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:04:08 AM,27,-96.727959999999996,43.564290000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:08
47,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:04:15 AM,27,-96.729010000000002,43.564160000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:15
48,Fleet Parts Runner SF110331,Parts,12/10/2021 8:04:17 AM,39,-96.730189999999993,43.572330000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:17
49,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:04:24 AM,22,-96.730220000000003,43.564160000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:24
50,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:04:25 AM,0,-96.708399999999997,43.512500000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:04:25
51,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:04:26 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:26
52,Fleet Parts Runner SF110331,Parts,12/10/2021 8:04:35 AM,38,-96.728629999999995,43.574910000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:35
53,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:04:38 AM,0,-96.731030000000004,43.564210000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:38
54,Fleet Parts Runner SF110331,Parts,12/10/2021 8:04:40 AM,40,-96.728390000000005,43.575679999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:40
55,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:04:43 AM,0,-96.730419999999995,43.517440000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:43
56,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:04:46 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:04:46
57,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:04:57 AM,2,-96.731030000000004,43.564210000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:04:57
58,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:05:00 AM,10,-96.731129999999993,43.564210000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:00
59,Street Sander SF829031,"Sanders, Sanders",12/10/2021 8:05:00 AM,0,-96.716340000000002,43.571249999999999,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:05:00
60,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:05:11 AM,30,-96.732410000000002,43.564239999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:11
61,Fleet Parts Runner SF110331,Parts,12/10/2021 8:05:16 AM,45,-96.728420000000000,43.581930000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:16
62,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:05:24 AM,33,-96.734719999999996,43.564129999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:24
63,Fleet Parts Runner SF110331,Parts,12/10/2021 8:05:38 AM,39,-96.728549999999998,43.585610000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:38
64,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:05:39 AM,23,-96.736999999999995,43.563670000000002,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:39
65,Fleet Parts Runner SF110331,Parts,12/10/2021 8:05:46 AM,39,-96.728650000000002,43.586869999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:46
66,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:05:54 AM,33,-96.739300000000000,43.563600000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:05:54
67,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:06:04 AM,0,-96.708399999999997,43.512500000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:06:04
68,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:06:05 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:05
69,Fleet Parts Runner SF110331,Parts,12/10/2021 8:06:09 AM,39,-96.728600000000000,43.590429999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:09
70,Fleet Parts Runner SF110331,Parts,12/10/2021 8:06:15 AM,45,-96.728600000000000,43.591419999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:15
71,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:06:22 AM,0,-96.730419999999995,43.517440000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:22
72,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:06:25 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:06:25
73,Street Sander SF829034,"Sanders, Sanders",12/10/2021 8:06:28 AM,0,-96.715059999999994,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:06:28
74,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:06:34 AM,39,-96.747339999999994,43.563600000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:34
75,Street Sander SF829034,"Sanders, Sanders",12/10/2021 8:06:35 AM,0,-96.715059999999994,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:06:35
76,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:06:43 AM,2,-96.730500000000006,43.517409999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:43
77,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:06:50 AM,10,-96.730770000000007,43.517359999999996,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:50
78,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:06:58 AM,0,-96.731030000000004,43.517359999999996,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:06:58
79,Street Flusher SF820054,"Flushers, Route Group, Flushers",12/10/2021 8:06:59 AM,0,-96.713750000000005,43.571350000000002,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:06:59
80,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:02 AM,42,-96.728650000000002,43.599460000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:02
81,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:07:03 AM,37,-96.753460000000004,43.563949999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:03
82,Street Sander SF829034,"Sanders, Sanders",12/10/2021 8:07:03 AM,0,-96.715059999999994,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:03
83,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:10 AM,35,-96.728629999999995,43.600720000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:10
84,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:17 AM,23,-96.728629999999995,43.601509999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:17
85,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:07:20 AM,2,-96.731089999999995,43.517389999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:20
86,Street Sander SF829037,"Sanders, Sanders",12/10/2021 8:07:20 AM,0,-96.713780000000000,43.570709999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:20
87,Street Sander SF829033,"Sanders, Sanders",12/10/2021 8:07:21 AM,0,-96.715010000000007,43.570349999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:21
88,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:24 AM,0,-96.728600000000000,43.601869999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:24
89,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:07:25 AM,0,-96.755660000000006,43.564109999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:25
90,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:07:26 AM,16,-96.731260000000006,43.517209999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:26
91,Street Sander SF829037,"Sanders, Sanders",12/10/2021 8:07:27 AM,0,-96.713780000000000,43.570709999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:27
92,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:32 AM,1,-96.728600000000000,43.601869999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:32
93,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:07:32 AM,29,-96.731290000000001,43.516669999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:32
94,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:33 AM,4,-96.728600000000000,43.601889999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:33
95,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:38 AM,16,-96.728350000000006,43.601999999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:38
96,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:07:38 AM,29,-96.731260000000006,43.515960000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:38
97,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:07:43 AM,0,-96.708399999999997,43.512500000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:07:43
98,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:07:44 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:44
99,Fleet Parts Runner SF110331,Parts,12/10/2021 8:07:46 AM,30,-96.727270000000004,43.601999999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:46
100,Street Sander SF829024,"Sanders, Sanders",12/10/2021 8:07:51 AM,0,-96.716669999999993,43.571129999999997,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:51
101,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:07:53 AM,0,-96.731189999999998,43.515110000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:53
102,Sander SF829027,"Sanders, Sanders",12/10/2021 8:07:53 AM,0,-96.716639999999998,43.571129999999997,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:07:53
103,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:07:59 AM,2,-96.755679999999998,43.564079999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:07:59
104,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:08:01 AM,0,-96.731189999999998,43.515110000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:01
105,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:08:04 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:08:04
106,Fleet Parts Runner SF110331,Parts,12/10/2021 8:08:06 AM,14,-96.724840000000000,43.601970000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:06
107,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:08:08 AM,22,-96.756360000000001,43.564129999999999,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:08
108,Fleet Parts Runner SF110331,Parts,12/10/2021 8:08:10 AM,22,-96.724429999999998,43.601970000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:10
109,Street Sander SF829040,"Sanders, Sanders",12/10/2021 8:08:14 AM,0,-96.714979999999997,43.570349999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:08:14
110,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:08:21 AM,33,-96.758399999999995,43.564259999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:21
111,Street Sander SF829040,"Sanders, Sanders",12/10/2021 8:08:21 AM,0,-96.714979999999997,43.570349999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:08:21
112,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:08:27 AM,30,-96.759420000000006,43.564340000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:27
113,Fleet Parts Runner SF110331,Parts,12/10/2021 8:08:29 AM,32,-96.721689999999995,43.601970000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:29
114,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:08:35 AM,2,-96.731189999999998,43.515079999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:35
115,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:08:42 AM,15,-96.731009999999998,43.514850000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:42
116,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:08:44 AM,0,-96.760630000000006,43.564390000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:44
117,Street Sander SF829040,"Sanders, Sanders",12/10/2021 8:08:47 AM,0,-96.714979999999997,43.570349999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:08:47
118,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:08:49 AM,29,-96.730140000000006,43.514850000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:49
119,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:08:59 AM,30,-96.728520000000003,43.514879999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:08:59
120,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:09:03 AM,2,-96.760649999999998,43.564390000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:03
121,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:09:07 AM,10,-96.760829999999999,43.564419999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:07
122,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:09:12 AM,0,-96.760930000000002,43.564419999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:12
123,Fleet Parts Runner SF110331,Parts,12/10/2021 8:09:16 AM,31,-96.713620000000006,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:16
124,Street Sander SF829035,"Sanders, Sanders",12/10/2021 8:09:20 AM,0,-96.715090000000004,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:09:20
125,Street Sander SF829036,"Sanders, Sanders",12/10/2021 8:09:22 AM,0,-96.708399999999997,43.512500000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:09:22
126,Street Sander SF829046,"Sanders, Sanders",12/10/2021 8:09:23 AM,0,-96.753969999999995,43.564929999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:23
127,Street Sander SF829035,"Sanders, Sanders",12/10/2021 8:09:27 AM,0,-96.715090000000004,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:09:27
128,Fleet Parts Runner SF110331,Parts,12/10/2021 8:09:28 AM,17,-96.711990000000000,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:28
129,Fleet Parts Runner SF110331,Parts,12/10/2021 8:09:35 AM,0,-96.711630000000000,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:35
130,Street Sander SF829038,"Sanders, Sanders",12/10/2021 8:09:43 AM,0,-96.764849999999996,43.541020000000003,TRUE,TRUE,TRUE,TRUE,12/10/2021 8:09:43
131,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:09:52 AM,35,-96.719440000000006,43.514899999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:09:52
132,Street Sander SF829035,"Sanders, Sanders",12/10/2021 8:09:53 AM,0,-96.715090000000004,43.570329999999998,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:09:53
133,Street Sander SF829041,"Sanders, Sanders",12/10/2021 8:09:59 AM,0,-96.735740000000007,43.570129999999999,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:09:59
134,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:08 AM,0,-96.711630000000000,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:08
135,Fleet Fuel Truck SF720021,Fleet,12/10/2021 8:10:09 AM,0,-96.716260000000005,43.570839999999997,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:10:09
136,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:13 AM,32,-96.715469999999996,43.514879999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:13
137,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:19 AM,33,-96.714449999999999,43.515140000000002,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:19
138,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:10:27 AM,1,-96.760959999999997,43.564419999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:27
139,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:30 AM,30,-96.712829999999997,43.515880000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:30
140,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:31 AM,1,-96.711630000000000,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:31
141,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:33 AM,10,-96.711560000000006,43.601920000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:33
142,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:10:33 AM,9,-96.761189999999999,43.564419999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:33
143,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:36 AM,14,-96.711349999999996,43.601970000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:36
144,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:10:37 AM,15,-96.761290000000002,43.564239999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:37
145,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:38 AM,18,-96.711910000000003,43.516260000000003,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:38
146,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:39 AM,15,-96.711240000000004,43.602100000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:39
147,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:42 AM,12,-96.711579999999998,43.516340000000000,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:42
148,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:46 AM,14,-96.711399999999998,43.516210000000001,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:46
149,Street Sander SF829044,"Sanders, Sanders",12/10/2021 8:10:46 AM,29,-96.761269999999996,43.563389999999998,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:46
150,Street Sander SF829045,"Sanders, Sanders",12/10/2021 8:10:46 AM,0,-96.689099999999996,43.547289999999997,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:10:46
151,Fleet Parts Runner SF110331,Parts,12/10/2021 8:10:49 AM,24,-96.711219999999997,43.602939999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:49
152,Street Sander SF829042,"Sanders, Sanders",12/10/2021 8:10:53 AM,29,-96.711529999999996,43.515569999999997,TRUE,FALSE,TRUE,TRUE,12/10/2021 8:10:53
153,Street Sander SF829045,"Sanders, Sanders",12/10/2021 8:10:53 AM,0,-96.689099999999996,43.547289999999997,FALSE,FALSE,TRUE,FALSE,12/10/2021 8:10:53
